VAR_EDDY.LE_sub,VAR_EDDY.E_sub,VAR_EDDY.MO_length_sub,VAR_EDDY.H_sub,VAR_EDDY.wind_dir_sub,VAR_EDDY.U_sub,VAR_EDDY.F_c_sub,VAR_EDDY.tau_sub,VAR_EDDY.u_star_sub,datetime,season_year,season_date,target_doy,group_name
,,,,,,,,,2024-01-15T00:00:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T00:30:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T01:00:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T01:30:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T02:00:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T02:30:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T03:00:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T03:30:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T04:00:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T04:30:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T05:00:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T05:30:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T06:00:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T06:30:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T07:00:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T07:30:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T08:00:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T08:30:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T09:00:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T09:30:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T10:00:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T10:30:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T11:00:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T11:30:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T12:00:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T12:30:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T13:00:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T13:30:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T14:00:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T14:30:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T15:00:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T15:30:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T16:00:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T16:30:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T17:00:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T17:30:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T18:00:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T18:30:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T19:00:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T19:30:00.0,2024,2024-01-15,15,other_tracers
,,,,,,,,,2024-01-15T20:00:00.0,2024,2024-01-15,15,other_tracers
